company,report,reporting_period,source_pdf,source_page,category,subcategory,indicator,unit,value_2022,value_2023,value_2024,notes
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,New regular hires total,people,17442,14659,12344,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,New regular hires - male,people,11551,9719,8641,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,New regular hires - female,people,5891,4940,3703,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,New hires total including non-regular,people,20065,16405,13956,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,Internal candidates filling vacancies,percent,11.5,10.6,12.3,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,Employee voluntary turnover rate,percent,10.7,7.8,6.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,141,Social,Hiring and turnover,Total employee turnover rate,percent,25.8,20.8,14.0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Regular voluntary turnover rate,percent,10.7,7.8,6.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Regular voluntary leavers,people,7620,5532,4637,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Male voluntary turnover rate,percent,9.2,6.7,5.6,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Female voluntary turnover rate,percent,16.1,11.7,9.2,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Disabled employment rate,percent,2.4,2.5,2.6,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Disabled workers total,people,817,856,917,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Employees taking parental leave - total,people,612,599,534,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,142,Social,"Turnover, disability and parental leave",Employees returned after parental leave - total,people,435,520,529,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,143,Social,Diversity and training,Female management ratio - all management,percent,11.0,11.8,12.2,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,143,Social,Diversity and training,Female R&D ratio,percent,15.5,16.1,16.3,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,143,Social,Diversity and training,Female STEM-related jobs ratio,percent,15.5,16.1,16.3,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,144,Social,Diversity and training,Employees receiving performance evaluation,percent,100,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,144,Social,Diversity and training,Average training hours - total male,hours,47.5,49.0,47.8,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,144,Social,Diversity and training,Average training hours - total female,hours,33.1,36.1,35.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,146,Social,Diversity and training,Average training hours per regular employee,hours/person,45.1,47.1,42.3,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,146,Social,Diversity and training,Total regular employee training hours,hours,3226535,3360991,3124513,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,146,Social,Diversity and training,Training cost per regular employee,KRW/person,748074,826054,883101,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Domestic union membership ratio,percent,31,28,26,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Overseas union membership ratio,percent,,32,31,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Total union membership ratio,percent,,30,29,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Human-rights stakeholder grievance cases received,cases,74,59,63,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Human-rights stakeholder grievance cases processed,cases,74,59,63,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Human-rights stakeholder grievance processing rate,percent,100,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Security guards trained in human-rights policy/procedures,people,364,364,364,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Security guard human-rights training completion rate,percent,100,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,148,Social,Human rights and labor relations,Indigenous rights violations,cases,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Human rights and labor relations,Human-rights impact assessment target sites,sites,33,30,30,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Human rights and labor relations,Human-rights impact assessment coverage,percent,100,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Human rights and labor relations,Human-rights training workers - domestic,people,,,25481,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Human rights and labor relations,Human-rights training workers - overseas,people,,,20013,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Product quality and customer service,Customer satisfaction - domestic market,percent,87.7,92.5,92.1,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Product quality and customer service,Customer satisfaction - overseas market,percent,69.9,63.6,66.0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,149,Social,Product quality and customer service,Products/services assessed for safety and health impacts,percent,100.0,100.0,100.0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,98,Social,Product quality and customer service,Sign-language consultation cases Korea,cases,944,1266,1304,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Board meetings held,meetings,9,8,9,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Board agenda items approved,cases,46,30,27,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Board agenda items reported,cases,11,16,19,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Board attendance rate - overall,percent,96.8,96.3,100.0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Material issue reports to board,times,9,8,9,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Economic/environmental/social topic review cycle,years,1,1,1,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Female directors ratio,percent,14,14,14,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,150,Governance,Board governance,Total board members,people,7,7,7,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Compliance managers,people,151,122,130,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Risk managers,people,533,557,483,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Enterprise compliance committee meetings,meetings,4,4,4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Site compliance committee meetings,meetings,3,3,3,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Compliance survey target - total,people,45152,45244,48327,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Compliance survey respondents - total,people,33555,44440,45494,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Violation reports - corruption/misconduct,cases,27,29,20,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Violation reports - other HR/unfair trade etc.,cases,90,63,71,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Violation reports - complaints/customer/supplier grievances,cases,108,77,148,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Violation reports total,cases,225,169,239,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Diagnostic actions - dismissal/recommended resignation,cases,11,12,11,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Diagnostic actions - light disciplinary action,cases,120,106,114,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Diagnostic actions - heavy disciplinary action,cases,101,98,86,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Diagnostic actions total,cases,232,216,211,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Online compliance education target - total,people,45152,45244,48327,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Online compliance education completions - total,people,43169,44440,45494,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Business sites assessed for corruption risk,sites,95,108,105,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,151,Governance,Compliance and ethics,Business sites assessed for corruption risk ratio,percent,99,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,152,Governance,Anti-corruption and ethics training,Board members receiving anti-corruption notice/training,people(percent),7(100),7(100),7(100),
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,152,Governance,Anti-corruption and ethics training,Workers receiving anti-corruption notice/training - total,people,43169,44440,45494,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,152,Governance,Anti-corruption and ethics training,Suppliers receiving anti-corruption notice/training - total,suppliers,237,1046,638,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,152,Governance,Anti-corruption and ethics training,Ethics consultation center inquiries total,cases,97,92,136,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Jeong-do management education completions - online,people,36070,37304,26936,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Jeong-do management education completions - offline,people,4605,10231,28907,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Jeong-do management education completions - total,people,40675,47535,55843,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Supplier participants in ethics education,suppliers,5,17,46,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Supplier employee participants in ethics education,people,4605,1986,46,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Privacy complaints substantiated by external parties,cases,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Privacy complaints from regulators,cases,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Substantiated customer data leakage/theft/loss incidents,cases,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Substantiated employee data leakage/theft/loss incidents,cases,1,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Customer privacy violation cases,cases,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,153,Governance,Ethics education and privacy incidents,Trade association or think tank spending,KRW million,2093,1187,2466,
